name,price,quantity,brand,category,entry_date,total_value,columnaReto1,columnaReto2
Laptop,1200,4,BrandName,Electronics,2024-01-05,4800.0,597,184
Mouse,45,120,TechGear,Accessories,2024-02-10,5400.0,321,809
Keyboard,70,60,KeyMasters,Accessories,2024-02-12,4200.0,689,691
Monitor,320,15,ViewSharp,Electronics,2024-03-01,4800.0,117,275
Headphones,150,25,SoundMax,Audio,2024-03-15,3750.0,608,796
Webcam,85,40,ClearView,Electronics,2024-03-20,3400.0,631,948
Printer,200,10,PrintWell,Office,2024-04-01,2000.0,600,598
Tablet,400,30,TabZone,Electronics,2024-04-05,12000.0,674,469
Smartphone,800,20,PhonePro,Electronics,2024-04-10,16000.0,837,494
External Hard Drive,100,50,StoreMore,Storage,2024-05-01,5000.0,692,258
Speaker,90,35,SoundMax,Audio,2024-05-05,3150.0,330,983
Microphone,110,18,VoiceClear,Audio,2024-05-10,1980.0,595,228
Charger,25,150,PowerPlus,Accessories,2024-05-15,3750.0,929,197
USB Cable,10,200,CableWorld,Accessories,2024-05-20,2000.0,631,548
Power Bank,60,80,ChargeIt,Accessories,2024-05-25,4800.0,890,663
Router,150,25,NetSpeed,Networking,2024-06-01,3750.0,733,704
Mouse Pad,20,100,ComfortZone,Accessories,2024-06-05,2000.0,621,160
Laptop Stand,55,45,ErgoLift,Accessories,2024-06-10,2475.0,719,776
Projector,550,8,ProView,Electronics,2024-06-15,4400.0,950,823
Graphics Tablet,250,12,ArtMaster,Electronics,2024-06-20,3000.0,557,268
Wireless Charger,75,100,ChargerMaster,Accessories,2024-07-01 ,7500.0,301,751
